seed,ade_2s,ade_4s,ade_6s,fde,miss_rate,offroad,offroad_rate,wall_s
191,0.609632261230935,1.4941445422092294,2.671913554787038,6.2148342341080385,0.7466666666666667,,,2.1
192,0.6125921270828345,1.5116143188166864,2.7137574122399077,6.300585395033964,0.7933333333333333,,,2.3
193,0.6185868255495438,1.517869481979873,2.7164885935938683,6.297078989502489,0.7866666666666666,,,2.4
194,0.6153709339356747,1.5213177623467222,2.7183637802879925,6.287787381540649,0.7733333333333333,,,2.3
195,0.6168547651318675,1.5151025832702074,2.707049363327629,6.280719169130194,0.82,,,2.3
196,0.6132091243346506,1.507104303571983,2.69093000268594,6.232522657389727,0.7466666666666667,,,2.3
197,0.6150093568868632,1.5096178785442111,2.6867772514558848,6.200017223613488,0.7733333333333333,,,2.3
198,0.619097569999289,1.5189634423265248,2.7190368898876494,6.322681486692539,0.7733333333333333,,,2.3
199,0.6011387498426504,1.482176754477618,2.6560745053446215,6.182905334466135,0.7533333333333333,,,2.2
200,0.6056444902150883,1.477658725150646,2.6337987873321684,6.093901304712617,0.7933333333333333,,,2.3
201,0.5968911842917186,1.4546200290801505,2.581923767899408,5.939751369721348,0.7466666666666667,,,2.4
202,0.5952407795849132,1.4530791696417196,2.597418597498341,6.0293953813694525,0.7533333333333333,,,2.3
203,0.6044520627543454,1.4764064934857917,2.6297325095529747,6.079330121944877,0.7533333333333333,,,2.4
204,0.6147959054150862,1.5081615254487541,2.673361316808173,6.133523566194687,0.74,,,2.4
205,0.6166431629545264,1.5252070462008276,2.73367033639428,6.33949490056493,0.7733333333333333,,,2.2
206,0.604401163576719,1.4715055506360109,2.6066668802466992,5.992401681038192,0.7333333333333333,,,2.3
207,0.6210739855684881,1.529904665947363,2.72553525232655,6.284536613593023,0.7933333333333333,,,2.3
208,0.6175414507540421,1.5186831557940708,2.708117869920237,6.2785686460059695,0.7666666666666667,,,2.3
209,0.6028591774005012,1.485056011124701,2.664242327872791,6.199638516335918,0.7666666666666667,,,2.3
210,0.5967383564879782,1.4754471503013666,2.645202949675852,6.156237824167718,0.7533333333333333,,,2.3
211,0.604547700535587,1.4882400498286084,2.657677361359024,6.154122709560616,0.76,,,2.2
212,0.6024545416334135,1.4723704002917264,2.6152656837792136,6.029503298414998,0.7733333333333333,,,2.3
213,0.6111361472038784,1.4878744778085973,2.649700780389609,6.122574364991953,0.7733333333333333,,,2.4
214,0.6070337382529228,1.4689861486732434,2.6154348514591903,6.053345471802704,0.76,,,2.2
215,0.6189270418647677,1.5301814185486808,2.733053186994026,6.312172939078902,0.7733333333333333,,,2.3
216,0.6056237936276045,1.4884446221154712,2.6521341293866394,6.126711567477139,0.7933333333333333,,,2.3
217,0.6163522583461409,1.5020262409047473,2.6862246886439296,6.240424986908972,0.7533333333333333,,,2.4
218,0.6042598064124698,1.4758506450104945,2.6156860538314897,5.99513211607033,0.7466666666666667,,,2.4
219,0.6061793960451678,1.4940907793663072,2.6741057111394007,6.20258697243235,0.7733333333333333,,,2.3
220,0.6095537870657053,1.487300325872101,2.6400306885392486,6.080443007792189,0.7733333333333333,,,2.3
221,0.6021500403055342,1.4600225908138582,2.5996413873174244,6.0026995145198025,0.7733333333333333,,,2.3
222,0.6013434814482416,1.4607717019297457,2.6040787981998914,6.018651267793206,0.76,,,2.3
223,0.6067290309215085,1.4896375909655317,2.6632501140830476,6.167492911284795,0.74,,,2.3
224,0.6275009831055268,1.5251798510032082,2.7087402899737665,6.261166252074418,0.8133333333333334,,,2.3
225,0.6092089837969239,1.4974923598343697,2.6870524272655727,6.264529178274726,0.8066666666666666,,,2.3
226,0.6239143101949729,1.5300796385786841,2.731493574253249,6.328102415520357,0.7666666666666667,,,2.3
227,0.6154983364839413,1.5109802398924148,2.7045706596642107,6.274588031221092,0.7866666666666666,,,2.2
228,0.6044614577389528,1.4743709174593516,2.6188292492564846,6.03404091450759,0.7933333333333333,,,2.5
229,0.610161804446338,1.4916014911896218,2.671254278013871,6.213261478433031,0.7933333333333333,,,2.1
230,0.6193671645998212,1.5234445585863208,2.7149533295156205,6.2761392383892405,0.76,,,2.3
231,0.6098632070431106,1.4910729972668606,2.654897599547943,6.140001947872121,0.7733333333333333,,,2.4
232,0.6079135397988248,1.5014641709638568,2.6769934472959713,6.193336921257724,0.7666666666666667,,,2.3
233,0.6064297695225701,1.4674852161790122,2.605779252707953,6.012350149155434,0.7533333333333333,,,2.4
234,0.6050449535631744,1.4866649656248703,2.678614379521545,6.25999396526235,0.76,,,2.3
235,0.6203966962278844,1.5332846186619573,2.7313162527504975,6.2910966619111806,0.78,,,2.2
236,0.6070226700855382,1.4896715553980344,2.6585517183712826,6.144808911247328,0.7666666666666667,,,2.4
237,0.6198492538963516,1.518138593895676,2.6944540477445957,6.1988075654104025,0.7333333333333333,,,2.3
238,0.6122555598093936,1.4954247827963865,2.67094461072632,6.186634829802305,0.78,,,2.3
239,0.6087855392998167,1.48252313749189,2.633160862534945,6.081076684034366,0.7466666666666667,,,2.4
240,0.6014362322321661,1.4810541229814225,2.653081405353423,6.161759605205138,0.7733333333333333,,,2.4
241,0.6109852702748648,1.480202685104217,2.6303759765504835,6.062770960801539,0.7666666666666667,,,2.3
242,0.5993320480145998,1.4740263917285115,2.6397444456477976,6.130259669329827,0.8,,,2.2
243,0.599562377267643,1.4748568610876338,2.6393928200662473,6.1034497702281225,0.74,,,2.4
244,0.5973111257821758,1.4540138786276442,2.5940193818681125,6.012242525334613,0.76,,,2.2
245,0.6106471035206866,1.4979267911254013,2.6819039660308515,6.2259187768532644,0.78,,,2.4
246,0.6174313725594046,1.5282005987198017,2.7321187180909092,6.319219551490213,0.7466666666666667,,,2.3
247,0.5942708005700559,1.4613290073702672,2.594380407859985,5.965138195764919,0.7733333333333333,,,2.3
248,0.615515479212076,1.4976761419132534,2.666538255614183,6.169753949178861,0.7733333333333333,,,2.3
249,0.6181105034036821,1.5075967978404434,2.696682190244363,6.265303580464665,0.76,,,2.3
250,0.6268716854584636,1.5219763230983523,2.7054148123232107,6.237017350714665,0.78,,,2.3
251,0.6256969625233495,1.5266291068349833,2.731145921288246,6.345391791799926,0.7666666666666667,,,2.4
252,0.6218640464173171,1.5122818508268014,2.6835161499802065,6.180165606123339,0.7533333333333333,,,2.3
253,0.6199760182121683,1.5168320324223217,2.695444964932091,6.209081544229055,0.7933333333333333,,,2.4
254,0.6057610929957976,1.47840955904749,2.6362052884305442,6.09621324783198,0.78,,,2.4
255,0.6283589321063533,1.5510701711827364,2.769198625040391,6.39326639180966,0.7466666666666667,,,2.4
256,0.6017163630917028,1.473908506990151,2.618369721197784,6.014637047798262,0.7733333333333333,,,2.4
257,0.5985477716959965,1.471742165979531,2.6369998840289495,6.109485818653455,0.7333333333333333,,,2.3
258,0.6054358168120938,1.482648163439144,2.645868350016568,6.126615919867324,0.7533333333333333,,,2.4
259,0.6046005975884401,1.4815595796973051,2.6443122757874082,6.107010997549855,0.8066666666666666,,,2.3
260,0.6041644363697878,1.4792290703305464,2.6422784536166013,6.123178240481224,0.78,,,2.4
261,0.6156079444844131,1.5183345352217898,2.717653207498741,6.287807528304646,0.8,,,2.4
262,0.6185038992570138,1.5148440737795221,2.6976456915731757,6.214514010006774,0.8133333333333334,,,2.4
263,0.617534216878989,1.5164312607512997,2.6985148248501916,6.208879152463827,0.7733333333333333,,,2.4
264,0.6172054268542743,1.52023558825333,2.7256121147486003,6.333471172819188,0.8066666666666666,,,2.4
265,0.6116946393412943,1.482384022398201,2.634653168631944,6.0880389451681705,0.7933333333333333,,,2.3
266,0.5999689531375534,1.468784646595678,2.6247952306045277,6.094046867286144,0.7866666666666666,,,2.4
267,0.6088393905882755,1.4989756488865926,2.694065276899803,6.271011959449291,0.7666666666666667,,,2.2
268,0.6134734377412473,1.492298982467012,2.65935202807217,6.139322961711198,0.7933333333333333,,,2.4
269,0.6121003620668093,1.5035405577128764,2.6834029612325936,6.217534268993996,0.7666666666666667,,,2.4
270,0.596923387231282,1.4725042788233964,2.6146536698709646,6.013075446697854,0.7733333333333333,,,2.5
271,0.6248952859180743,1.5473890931221657,2.7704581874964176,6.422637929799169,0.7933333333333333,,,2.4
272,0.6156342779497059,1.5035010363878845,2.6650199536750945,6.140148445633067,0.7466666666666667,,,2.4
273,0.6101907116166935,1.4788869281460557,2.625635500217486,6.043900303706379,0.76,,,2.4
274,0.6143564576110413,1.5027502652689315,2.66507710376646,6.127013420657108,0.7733333333333333,,,2.3
275,0.6143688134341315,1.5249728710615982,2.7394884037547045,6.372797878502767,0.7866666666666666,,,2.5
276,0.609420675810488,1.4986741350452544,2.6842585266222625,6.235604363692963,0.76,,,2.4
277,0.6168412818047364,1.5132902164011293,2.6950377518768116,6.224012715239849,0.78,,,2.3
278,0.6052570083499229,1.4855442326936383,2.645169493061203,6.0858282247236515,0.72,,,2.4
279,0.6083678697121526,1.501007525398819,2.6743657959876197,6.176008230165689,0.7866666666666666,,,2.4
280,0.6040157141511465,1.4828713664322004,2.643887385760914,6.114603935947519,0.7733333333333333,,,2.3
281,0.6228742403669036,1.5282976322886341,2.730338354601364,6.319635345168408,0.7733333333333333,,,2.5
282,0.6107990496091305,1.488608284036547,2.6457794382105977,6.0914266178630285,0.7333333333333333,,,2.2
283,0.6199125545412005,1.5232696618950046,2.7048454996618645,6.220556176445364,0.7933333333333333,,,2.4
284,0.599316103090847,1.4778420852669107,2.632819313477331,6.076289839202379,0.7466666666666667,,,2.3
285,0.6173241482751023,1.5158714322883495,2.7085606778543365,6.270644356017663,0.7866666666666666,,,2.4
286,0.6087581278221474,1.4920319582657149,2.6437931603231664,6.071649594354441,0.7466666666666667,,,2.3
287,0.6109671133345586,1.5035231835329412,2.688124203385694,6.214452751652202,0.76,,,2.4
288,0.627931171210844,1.539768895387816,2.7567140790145745,6.397509277547223,0.78,,,2.4
289,0.6167982656384156,1.5076584640602426,2.6968916793222184,6.253645767444124,0.7933333333333333,,,2.3
290,0.6056604677115549,1.4775521333132962,2.6180190959708733,6.0141429341603745,0.76,,,2.4
291,0.6047267135941005,1.494169220967125,2.674597067028024,6.205034671152095,0.7733333333333333,,,2.4
292,0.6079439667955557,1.4630926855760915,2.5741708504019245,5.902892162732149,0.7466666666666667,,,2.4
293,0.6129522124497429,1.5072891043916425,2.681921632422076,6.201025143076872,0.74,,,2.5
294,0.6219359181461221,1.5396370120460139,2.7623148243199376,6.4120460883224455,0.7866666666666666,,,2.4
295,0.6027833250870112,1.489049180671412,2.657964361795657,6.158615758197608,0.7866666666666666,,,2.2
296,0.6172533866351056,1.500212053422054,2.664639814237812,6.165304102490637,0.7933333333333333,,,2.4
297,0.5981012198711926,1.4646522561796849,2.642609980637951,6.188598244488935,0.8066666666666666,,,2.3
298,0.6123305038791422,1.5132569819635457,2.6980096830016977,6.229872407905965,0.7666666666666667,,,2.5
